customer_state,total_orders,avg_delay_days,late_pct,revenue_at_risk,avg_review_score
AL,397,-8.74,20.84,23950.73,3.79
MA,717,-9.91,18.0,40211.2,3.73
SE,335,-10.0,16.27,16452.85,3.88
CE,1279,-11.1,13.6,46038.63,3.86
PI,476,-11.53,13.58,15037.93,3.92
BA,3256,-10.98,11.89,84705.12,3.83
RJ,12350,-12.01,11.62,291177.54,3.83
PA,946,-14.25,11.29,29859.26,3.77
RR,41,-18.33,10.87,1454.39,3.89
PB,517,-13.04,10.75,17017.03,4.0
ES,1995,-10.65,10.74,48286.47,3.96
TO,274,-12.34,9.68,8214.33,4.14
PE,1593,-13.45,9.11,33117.23,3.98
RN,474,-13.95,9.02,9897.45,4.09
MS,701,-11.23,9.0,13471.94,4.05
SC,3546,-11.57,8.18,57414.41,4.01
GO,1957,-12.29,6.24,24459.89,3.98
MT,886,-14.57,6.08,11891.92,3.96
DF,2080,-12.2,5.99,22912.01,4.03
RS,5344,-14.13,5.84,58585.24,4.08
SP,40494,-11.21,4.4,366415.54,4.15
MG,11354,-13.34,4.37,101211.45,4.09
RO,243,-20.04,4.03,2272.67,4.06
PR,4923,-13.49,3.88,41100.14,4.13
AP,67,-18.4,3.7,610.1,4.21
AC,80,-20.98,3.3,1697.35,4.13
AM,145,-19.93,3.07,1045.89,4.09
